,Score,Averagescores
0,-61.00000000000066,-61.00000000000066
1,-61.00000000000066,-61.00000000000066
2,-61.00000000000067,-61.00000000000066
3,-640.0000000000003,-205.75000000000057
4,-60.00000000000067,-176.6000000000006
5,-61.00000000000067,-157.33333333333394
6,-60.00000000000067,-143.42857142857204
7,-60.00000000000067,-133.00000000000063
8,-61.00000000000067,-125.00000000000063
9,-180.9999999999999,-130.60000000000053
10,-61.00000000000067,-124.27272727272783
11,-59.00000000000067,-118.8333333333339
12,-59.00000000000063,-114.23076923076981
13,-627.5000000000002,-150.8928571428577
14,-58.00000000000067,-144.70000000000056
15,-60.00000000000065,-139.40625000000057
16,-225.9999999999996,-144.5000000000005
17,-635.5000000000003,-171.77777777777828
18,-237.99999999999955,-175.2631578947373
19,-196.99999999999974,-176.35000000000042
20,-598.2,-196.43809523809563
21,-61.00000000000067,-190.28181818181858
22,-60.00000000000068,-184.61739130434825
23,-189.99999999999986,-184.84166666666707
24,-61.00000000000067,-179.88800000000043
25,-59.00000000000063,-175.238461538462
26,-59.00000000000067,-170.9333333333338
27,-59.00000000000067,-166.93571428571477
28,-654.3000000000006,-183.74137931034534
29,-61.00000000000067,-179.65000000000052
30,-220.9999999999997,-180.98387096774243
31,-170.9999999999999,-180.67187500000043
32,-62.00000000000067,-177.07575757575802
33,-655.0000000000006,-191.13235294117692
34,-61.00000000000066,-187.4142857142862
35,-59.00000000000067,-183.8472222222227
36,-60.000000000000654,-180.50000000000048
37,-60.000000000000654,-177.32894736842155
38,-60.00000000000065,-174.32051282051333
39,-62.00000000000067,-171.51250000000044
40,-62.00000000000068,-168.8414634146346
41,-615.8,-179.4833333333338
42,-601.7,-189.3023255813958
43,-61.00000000000067,-186.38636363636408
44,-154.00000000000003,-185.6666666666671
45,-62.00000000000068,-182.97826086956564
46,-57.00000000000062,-180.29787234042595
47,-60.00000000000067,-177.7916666666671
48,-93.00000000000038,-176.06122448979636
49,-61.00000000000067,-173.76000000000045
50,-60.00000000000065,-171.5294117647063
51,-61.00000000000066,-169.4038461538466
52,-146.0000000000001,-168.9622641509438
53,-112.00000000000034,-167.90740740740782
54,-611.7,-175.97636363636406
55,-656.5000000000006,-184.55714285714333
56,-62.00000000000067,-182.40701754386012
57,-61.00000000000066,-180.31379310344872
58,-252.99999999999946,-181.54576271186485
59,-59.000000000000654,-179.50333333333376
60,-61.00000000000063,-177.56065573770536
61,-57.0000000000006,-175.6161290322585
62,-598.2,-182.32380952380996
63,-62.00000000000068,-180.44375000000045
64,-414.40000000000055,-184.04307692307736
65,-624.6000000000001,-190.71818181818225
66,-401.30000000000007,-193.86119402985116
67,-58.000000000000654,-191.86323529411806
68,-61.00000000000065,-189.96666666666707
69,-58.00000000000062,-188.08142857142897
70,-61.00000000000067,-186.29154929577504
71,-646.0000000000005,-192.67638888888936
72,-61.00000000000067,-190.8726027397265
73,-60.00000000000067,-189.1040540540545
74,-61.00000000000066,-187.39600000000044
75,-58.00000000000063,-185.69342105263203
76,-412.7000000000005,-188.64155844155889
77,-60.00000000000065,-186.99230769230812
78,-62.00000000000068,-185.4101265822789
79,-150.0000000000001,-184.96750000000048
80,-59.000000000000654,-183.41234567901282
81,-137.0000000000002,-182.8463414634151
82,-63.00000000000066,-181.40240963855467
83,-54.00000000000062,-179.88571428571473
84,-631.9000000000002,-185.20352941176515
85,-179.99999999999991,-185.1430232558144
86,-61.00000000000067,-183.71609195402343
87,-72.00000000000061,-182.44659090909136
88,-61.00000000000065,-181.08202247191056
89,-63.00000000000068,-179.77000000000044
90,-61.00000000000067,-178.4648351648356
91,-169.0,-178.36195652173956
92,-57.00000000000065,-177.05698924731226
93,-62.00000000000068,-175.83297872340466
94,-58.00000000000065,-174.5926315789478
95,-62.00000000000068,-173.41979166666712
96,-71.00000000000063,-172.36391752577364
97,-57.00000000000058,-171.18673469387798
98,-63.00000000000067,-170.09393939393982
99,-406.8000000000003,-172.4610000000004
100,-187.99999999999986,-173.73100000000045
101,-61.00000000000067,-173.73100000000045
102,-598.2,-179.10300000000046
103,-58.00000000000063,-173.28300000000044
104,-59.00000000000065,-173.27300000000042
105,-62.00000000000067,-173.28300000000044
106,-64.00000000000065,-173.32300000000043
107,-645.1000000000005,-179.1740000000004
108,-62.00000000000067,-179.18400000000045
109,-211.99999999999963,-179.49400000000045
110,-61.00000000000067,-179.49400000000045
111,-407.3000000000003,-182.97700000000043
112,-407.7000000000003,-186.46400000000042
113,-401.4000000000001,-184.20300000000043
114,-60.00000000000067,-184.22300000000044
115,-57.00000000000064,-184.19300000000047
116,-60.00000000000065,-182.53300000000044
117,-598.2,-182.16000000000042
118,-62.00000000000066,-180.40000000000043
119,-62.00000000000067,-179.05000000000047
120,-60.00000000000067,-173.66800000000043
121,-147.00000000000014,-174.52800000000042
122,-62.00000000000066,-174.54800000000043
123,-124.00000000000028,-173.88800000000043
124,-61.00000000000067,-173.88800000000043
125,-61.00000000000067,-173.90800000000044
126,-58.00000000000065,-173.89800000000042
127,-59.00000000000065,-173.89800000000042
128,-159.2000000000006,-168.94700000000046
129,-62.00000000000066,-168.95700000000045
130,-62.00000000000067,-167.36700000000044
131,-63.00000000000067,-166.28700000000043
132,-414.8000000000005,-169.81500000000042
133,-658.6000000000007,-169.85100000000048
134,-56.00000000000059,-169.8010000000005
135,-598.2,-175.1930000000005
136,-621.1000000000001,-180.80400000000049
137,-61.00000000000066,-180.81400000000048
138,-217.9999999999997,-182.3940000000005
139,-64.00000000000067,-182.41400000000044
140,-146.7000000000004,-183.26100000000045
141,-155.5000000000005,-178.65800000000047
142,-64.0000000000007,-173.28100000000046
143,-292.0000000000001,-175.59100000000046
144,-62.00000000000068,-174.67100000000045
145,-142.50000000000034,-175.47600000000045
146,-61.00000000000067,-175.5160000000005
147,-120.10000000000002,-176.11700000000044
148,-598.2,-181.16900000000044
149,-60.00000000000066,-181.15900000000045
150,-103.0000000000004,-181.58900000000045
151,-65.0000000000006,-181.62900000000045
152,-121.00000000000003,-181.37900000000045
153,-598.2,-186.24100000000047
154,-121.00000000000003,-181.33400000000046
155,-120.10000000000002,-175.97000000000043
156,-120.10000000000001,-176.55100000000047
157,-121.00000000000003,-177.1510000000004
158,-60.000000000000654,-175.22100000000043
159,-415.8000000000005,-178.7890000000004
160,-256.99999999999943,-180.74900000000042
161,-598.2,-186.16100000000043
162,-251.99999999999946,-182.69900000000044
163,-408.9000000000003,-186.16800000000046
164,-61.00000000000067,-182.6340000000004
165,-228.99999999999963,-178.67800000000045
166,-61.00000000000067,-175.27500000000043
167,-273.9999999999998,-177.43500000000043
168,-414.6000000000005,-180.97100000000043
169,-64.00000000000065,-181.03100000000046
170,-400.6,-184.42700000000042
171,-605.6,-184.0230000000004
172,-64.00000000000067,-184.05300000000037
173,-409.10000000000036,-187.54400000000038
174,-410.00000000000034,-191.0340000000004
175,-122.00000000000028,-191.67400000000038
176,-143.30000000000035,-188.98000000000033
177,-120.10000000000001,-189.58100000000036
178,-153.50000000000048,-190.49600000000035
179,-121.10000000000002,-190.20700000000033
180,-157.00000000000054,-191.18700000000032
181,-121.00000000000003,-191.02700000000033
182,-121.10000000000002,-191.60800000000032
183,-120.10000000000001,-192.26900000000035
184,-120.10000000000001,-187.15100000000035
185,-65.00000000000061,-186.00100000000035
186,-233.99999999999957,-187.73100000000034
187,-598.2,-192.99300000000036
188,-255.99999999999943,-194.94300000000035
189,-60.00000000000065,-194.91300000000035
190,-402.30000000000007,-198.32600000000036
191,-408.9000000000003,-200.72500000000034
192,-411.40000000000043,-204.26900000000035
193,-62.00000000000067,-204.26900000000035
194,-121.10000000000002,-204.90000000000032
195,-120.10000000000002,-205.48100000000028
196,-120.10000000000001,-205.97200000000026
197,-160.00000000000057,-207.00200000000027
198,-121.10000000000002,-207.58300000000025
199,-120.10000000000001,-204.71600000000024
200,-121.10000000000002,-204.04700000000025
201,-62.00000000000068,-204.05700000000022
202,-62.00000000000068,-198.69500000000028
203,-59.00000000000063,-198.70500000000027
204,-616.7,-204.2820000000003
205,-622.8000000000001,-209.8900000000003
206,-128.40000000000012,-210.5340000000003
207,-121.10000000000002,-205.29400000000027
208,-120.10000000000001,-205.87500000000026
209,-121.10000000000002,-204.96600000000026
